종목명	회사구분	접수일자	보고서명(정지유형)	제출인
광주신세계	유	2024.02.28	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
효성	유	2024.02.23	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
풍산홀딩스	유	2024.02.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
신세계건설	기	2024.02.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
국보	기	2024.02.13	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동부건설	유	2024.02.08	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동부건설	유	2024.02.01	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
GS건설 IR	유	2024.02.01	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
GS건설 IR	유	2024.02.01	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동원산업 IR	유	2024.01.16	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
에이프로젠바이오로직스	유	2024.01.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
더블유게임즈 IR	유	2024.01.03	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
